Cindfam,Cindoff,Cindon,Cinsfam,Cinsoff,Cinson,Cotsfam,Cotsoff,Cotson,Grcohrt,Number of Records,Pgrcohrt,Ret Nmf,Ret Pcf,Rrftcta,Rrftct,Rrftex,Stufacr,Ugentern,Unitid (Ef2013D),Unitid
7193,18461,,7193,18461,,12513,23781,,753,1,32,468,75,623,623,0,29,2355,113573,113573
25862,37022,,25862,37022,,25862,37022,,19,1,40,5,63,8,8,0,12,48,113582,113582
12027,19006,,12027,19006,,17767,24746,,1429,1,28,932,72,1301,1301,0,30,5027,113634,113634
46586,51104,58860,46586,51104,58860,46586,51104,58860,306,1,65,227,86,265,265,0,10,474,113698,113698
7206,18366,,7206,18366,,12146,23306,,1331,1,17,755,73,1032,1032,0,48,7907,113856,113856
5552,17108,,5552,17108,,9632,21188,,2216,1,33,1407,79,1783,1783,0,28,6630,113980,113980
12216,18876,,12216,18876,,17900,24560,,595,1,22,399,74,541,541,0,28,2645,114266,114266
35429,49991,,35429,49991,,35429,49991,,517,1,48,143,93,153,153,0,23,1075,114354,114354
35429,49991,,35429,49991,,35429,49991,,111,1,46,38,100,38,38,0,24,240,114390,114390
35429,49991,,35429,49991,,35429,49991,,113,1,64,130,79,165,165,0,20,177,114415,114415
6333,15383,15383,6333,15383,15383,11883,20933,20933,203,1,21,130,52,248,248,0,18,964,114433,114433
7664,19139,,7664,19139,,14144,25619,,1200,1,23,821,71,1161,1161,0,24,5147,114716,114716
6938,16758,,6938,16758,,12578,22398,,2057,1,33,1195,65,1845,1845,0,26,6226,114789,114789
31701,42861,36991,31701,42861,36991,31701,42861,36991,210,1,28,195,83,236,236,0,13,740,114813,114813
7486,18975,,7486,18975,,12358,23847,,2157,1,26,579,75,769,769,0,29,8160,114859,114859
7230,18390,,7231,18391,,12639,23799,,412,1,22,283,69,412,412,0,22,1876,114938,114938
5981,16641,,5981,16641,,10469,21129,,1288,1,32,982,77,1276,1276,0,29,4087,115001,115001
,,,,,,,,,,1,,170,77,220,220,0,17,,115010,115010
21130,34130,,21130,34130,,21130,34130,,,1,,0,,0,0,0,14,,115083,115083
8013,21200,,8013,21200,,12045,25232,,1173,1,27,791,73,1084,1084,0,34,4307,115126,115126
6087,16987,,6087,16987,,11597,22497,,1600,1,28,858,69,1241,1241,0,29,5709,115296,115296
7280,18125,,7280,18125,,12644,23489,,798,1,30,518,73,708,708,0,34,2682,115393,115393
,,63860,,,63860,,,63860,217,1,98,197,99,198,198,0,8,222,115409,115409
19454,30774,,19454,30774,,19454,30774,,75,1,32,29,63,46,47,1,23,234,115454,115454
19454,30774,,19454,30774,,19454,30774,,145,1,39,82,57,143,144,1,20,370,115472,115472
19454,30774,,19454,30774,,19454,30774,,82,1,27,67,72,93,94,1,27,309,115490,115490
19454,30774,,19454,30774,,19454,30774,,62,1,30,29,57,51,51,0,20,207,115515,115515
19454,30774,,19454,30774,,19454,30774,,111,1,36,87,74,118,119,1,21,310,115533,115533
39005,50165,49041,39005,50165,49041,39005,50165,49041,85,1,42,91,74,123,123,0,10,202,115728,115728
11116,22556,22556,11116,22556,22556,22276,33716,33716,1344,1,57,930,78,1199,1199,0,21,2358,115755,115755
17339,28190,,17339,28190,,17339,28190,,32,1,24,36,69,52,53,1,22,136,115773,115773
